epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,12034.6,0.49442,1.08697,0.35703,0.94848,0.9599,0.92321,0.95404,0.88321,0.95706,0.91717,0.94589,0.84189,0.41357,1.18541,0.25304,0.91435,0.004588,0.004588,0.004588
84,12174,0.49823,1.09572,0.35486,0.95192,0.95688,0.92435,0.95414,0.88401,0.9584,0.91552,0.94634,0.84266,0.41278,1.18639,0.25168,0.91395,0.004522,0.004522,0.004522
85,12313.1,0.49168,1.09309,0.3491,0.94555,0.95922,0.924,0.9547,0.88409,0.95553,0.91982,0.94666,0.84272,0.41231,1.18497,0.25131,0.91445,0.004456,0.004456,0.004456
86,12452.3,0.49158,1.09533,0.35156,0.94613,0.96027,0.92397,0.95446,0.8838,0.95739,0.91948,0.94731,0.84255,0.41143,1.19077,0.25019,0.91467,0.00439,0.00439,0.00439
87,12591.4,0.48985,1.06478,0.34902,0.94776,0.96443,0.92331,0.95541,0.88479,0.96041,0.91989,0.9472,0.84357,0.41126,1.19042,0.24967,0.91408,0.004324,0.004324,0.004324
88,12730.9,0.49062,1.07843,0.34921,0.94813,0.96283,0.92602,0.95492,0.88421,0.96012,0.92022,0.94685,0.84407,0.41158,1.19539,0.25014,0.91435,0.004258,0.004258,0.004258
89,12870,0.48597,1.08111,0.34673,0.94688,0.96245,0.92472,0.95549,0.88448,0.96183,0.91931,0.9472,0.84392,0.41098,1.20398,0.24975,0.91287,0.004192,0.004192,0.004192
90,13012.3,0.48487,1.0764,0.34713,0.94465,0.95966,0.93067,0.95549,0.88435,0.95333,0.92787,0.94818,0.84432,0.41027,1.20492,0.25056,0.91199,0.004126,0.004126,0.004126
91,13158.1,0.47809,1.0538,0.3399,0.94161,0.95997,0.92976,0.95523,0.88472,0.95478,0.9241,0.94728,0.84426,0.40907,1.20679,0.25016,0.9112,0.00406,0.00406,0.00406
92,13297.1,0.48025,1.05715,0.33978,0.93996,0.96145,0.93025,0.95519,0.88483,0.95901,0.92151,0.94758,0.84534,0.40707,1.20442,0.25105,0.90897,0.003994,0.003994,0.003994
93,13436.7,0.48041,1.04636,0.3387,0.93959,0.96045,0.93018,0.95503,0.88527,0.95776,0.92385,0.94737,0.84615,0.40716,1.20913,0.25062,0.90894,0.003928,0.003928,0.003928
94,13643.7,0.47855,1.0473,0.33766,0.94153,0.95823,0.93021,0.95472,0.88611,0.95765,0.91989,0.94734,0.84626,0.40736,1.20364,0.24958,0.90966,0.003862,0.003862,0.003862
95,13849.3,0.47374,1.03856,0.33268,0.93735,0.95717,0.93044,0.95491,0.88686,0.96039,0.91809,0.9473,0.8467,0.4071,1.20198,0.24817,0.9095,0.003796,0.003796,0.003796
96,14047,0.47584,1.0429,0.33413,0.94049,0.9603,0.92764,0.95488,0.88659,0.96091,0.91949,0.94754,0.8465,0.40613,1.20145,0.24774,0.90864,0.00373,0.00373,0.00373
97,14211.7,0.47089,1.03127,0.33149,0.93713,0.96268,0.92303,0.95489,0.88737,0.95977,0.9197,0.94691,0.84698,0.40522,1.20596,0.24741,0.90766,0.003664,0.003664,0.003664
98,14351.3,0.47133,1.03205,0.32953,0.93907,0.95775,0.92995,0.95519,0.88751,0.95433,0.92389,0.94738,0.84735,0.40419,1.20698,0.24753,0.90659,0.003598,0.003598,0.003598
99,14490.8,0.46715,1.00859,0.32487,0.93593,0.9597,0.9292,0.95525,0.88754,0.95882,0.92108,0.94742,0.84757,0.40343,1.20829,0.24722,0.90574,0.003532,0.003532,0.003532
100,14631.1,0.47198,1.02043,0.32955,0.93749,0.96058,0.92939,0.95538,0.88744,0.9592,0.92381,0.94729,0.84758,0.40352,1.2086,0.24717,0.90615,0.003466,0.003466,0.003466
101,14771.2,0.46415,0.98999,0.32613,0.93497,0.96108,0.92881,0.95514,0.88774,0.95798,0.92316,0.94683,0.8473,0.40369,1.20815,0.24693,0.90607,0.0034,0.0034,0.0034
102,14912,0.46243,1.04001,0.3225,0.93468,0.96066,0.9279,0.95527,0.88711,0.95821,0.92301,0.94693,0.84687,0.40347,1.20851,0.24615,0.90592,0.003334,0.003334,0.003334
103,15052.2,0.46134,0.98965,0.32093,0.93198,0.96024,0.92799,0.95528,0.88771,0.96106,0.92109,0.94687,0.84718,0.40373,1.20927,0.24608,0.90599,0.003268,0.003268,0.003268
104,15191.3,0.459,1.00404,0.32016,0.93333,0.95654,0.93273,0.955,0.88746,0.96105,0.92036,0.94687,0.84716,0.40399,1.20964,0.24626,0.90626,0.003202,0.003202,0.003202
105,15331.9,0.45287,0.9711,0.31925,0.92874,0.96012,0.9288,0.9552,0.8876,0.96108,0.92089,0.94699,0.84658,0.40439,1.21257,0.24638,0.90691,0.003136,0.003136,0.003136
106,15472.6,0.45554,1.00122,0.31464,0.92941,0.96162,0.92841,0.95494,0.88784,0.96043,0.92171,0.94712,0.8464,0.40517,1.21318,0.24667,0.90777,0.00307,0.00307,0.00307
107,15612.9,0.45292,1.00052,0.31708,0.93065,0.96014,0.9297,0.95497,0.88843,0.96118,0.92056,0.94707,0.84632,0.40569,1.21648,0.24624,0.90875,0.003004,0.003004,0.003004
108,15753.2,0.45211,0.97179,0.3149,0.92724,0.95904,0.93126,0.95469,0.88815,0.96133,0.922,0.94736,0.84665,0.40571,1.21615,0.24643,0.90916,0.002938,0.002938,0.002938
109,15895.4,0.45631,0.99158,0.31753,0.929,0.95995,0.93057,0.95482,0.88814,0.96155,0.92183,0.94756,0.84645,0.40536,1.21767,0.24571,0.90935,0.002872,0.002872,0.002872
